N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
1041,185.9774209,1.791817505e+11,99869875,537000,0.2715179969,185.9774209,130125
1045,185.9764898,1.797816367e+11,99869375,537000,0.2725612937,185.9764898,130625
1049,185.9755587,1.803815229e+11,99868875,537000,0.2736045905,185.9755587,131125
1053,185.9746276,1.809814091e+11,99868375,537000,0.2746478873,185.9746276,131625
1057,185.9736965,1.815812953e+11,99867875,537000,0.2756911841,185.9736965,132125
1061,185.9727654,1.821811814e+11,99867375,537000,0.276734481,185.9727654,132625
1065,185.9718343,1.827810676e+11,99866875,537000,0.2777777778,185.9718343,133125
1069,185.9709032,1.833809538e+11,99866375,537000,0.2788210746,185.9709032,133625
1073,185.9699721,1.8398084e+11,99865875,537000,0.2798643714,185.9699721,134125
1077,185.969041,1.845807262e+11,99865375,537000,0.2809076682,185.969041,134625
1081,185.9681099,1.851806124e+11,99864875,537000,0.281950965,185.9681099,135125
1085,185.9671788,1.857804986e+11,99864375,537000,0.2829942619,185.9671788,135625
1089,185.9662477,1.863803848e+11,99863875,537000,0.2840375587,185.9662477,136125
1093,185.9653166,1.86980271e+11,99863375,537000,0.2850808555,185.9653166,136625
1097,185.9643855,1.875801572e+11,99862875,537000,0.2861241523,185.9643855,137125
1101,185.9634544,1.881800434e+11,99862375,537000,0.2871674491,185.9634544,137625
1105,185.9625233,1.887799296e+11,99861875,537000,0.288210746,185.9625233,138125
1109,185.9615922,1.893798158e+11,99861375,537000,0.2892540428,185.9615922,138625
1113,185.9606611,1.89979702e+11,99860875,537000,0.2902973396,185.9606611,139125
1117,185.95973,1.905795882e+11,99860375,537000,0.2913406364,185.95973,139625
1121,185.9587989,1.911794743e+11,99859875,537000,0.2923839332,185.9587989,140125
1125,185.9578678,1.917793605e+11,99859375,537000,0.29342723,185.9578678,140625
1129,185.9569367,1.923792467e+11,99858875,537000,0.2944705269,185.9569367,141125
1133,185.9560056,1.929791329e+11,99858375,537000,0.2955138237,185.9560056,141625
1137,185.9550745,1.935790191e+11,99857875,537000,0.2965571205,185.9550745,142125
1141,185.9541434,1.941789053e+11,99857375,537000,0.2976004173,185.9541434,142625
1145,185.9532123,1.947787915e+11,99856875,537000,0.2986437141,185.9532123,143125
1149,185.9522812,1.953786777e+11,99856375,537000,0.299687011,185.9522812,143625
1153,185.9513501,1.959785639e+11,99855875,537000,0.3007303078,185.9513501,144125
1157,185.950419,1.965784501e+11,99855375,537000,0.3017736046,185.950419,144625
1161,185.9494879,1.971783363e+11,99854875,537000,0.3028169014,185.9494879,145125
1165,185.9485568,1.977782225e+11,99854375,537000,0.3038601982,185.9485568,145625
1169,185.9476257,1.983781087e+11,99853875,537000,0.304903495,185.9476257,146125
1173,185.9466946,1.989779949e+11,99853375,537000,0.3059467919,185.9466946,146625
1177,185.9457635,1.995778811e+11,99852875,537000,0.3069900887,185.9457635,147125
1181,185.9448324,2.001777672e+11,99852375,537000,0.3080333855,185.9448324,147625
1185,185.9439013,2.007776534e+11,99851875,537000,0.3090766823,185.9439013,148125
1189,185.9429702,2.013775396e+11,99851375,537000,0.3101199791,185.9429702,148625
1193,185.9420391,2.019774258e+11,99850875,537000,0.311163276,185.9420391,149125
1197,185.941108,2.02577312e+11,99850375,537000,0.3122065728,185.941108,149625
1201,185.9401769,2.031771982e+11,99849875,537000,0.3132498696,185.9401769,150125
1205,185.9392458,2.037770844e+11,99849375,537000,0.3142931664,185.9392458,150625
1209,185.9383147,2.043769706e+11,99848875,537000,0.3153364632,185.9383147,151125
1213,185.9373836,2.049768568e+11,99848375,537000,0.31637976,185.9373836,151625
1217,185.9364525,2.05576743e+11,99847875,537000,0.3174230569,185.9364525,152125
1221,185.9355214,2.061766292e+11,99847375,537000,0.3184663537,185.9355214,152625
1225,185.9345903,2.067765154e+11,99846875,537000,0.3195096505,185.9345903,153125
1229,185.9336592,2.073764016e+11,99846375,537000,0.3205529473,185.9336592,153625
1233,185.9327281,2.079762878e+11,99845875,537000,0.3215962441,185.9327281,154125
1237,185.931797,2.085761739e+11,99845375,537000,0.3226395409,185.931797,154625
1241,185.9308659,2.091760601e+11,99844875,537000,0.3236828378,185.9308659,155125
1245,185.9299348,2.097759463e+11,99844375,537000,0.3247261346,185.9299348,155625
1249,185.9290037,2.103758325e+11,99843875,537000,0.3257694314,185.9290037,156125
1253,185.9280726,2.109757187e+11,99843375,537000,0.3268127282,185.9280726,156625
1257,185.9271415,2.115756049e+11,99842875,537000,0.327856025,185.9271415,157125
1261,185.9262104,2.121754911e+11,99842375,537000,0.3288993219,185.9262104,157625
1265,185.9252793,2.127753773e+11,99841875,537000,0.3299426187,185.9252793,158125
1269,185.9243482,2.133752635e+11,99841375,537000,0.3309859155,185.9243482,158625
1273,185.9234171,2.139751497e+11,99840875,537000,0.3320292123,185.9234171,159125
1277,185.922486,2.145750359e+11,99840375,537000,0.3330725091,185.922486,159625
1281,185.9215549,2.151749221e+11,99839875,537000,0.3341158059,185.9215549,160125
1285,185.9206238,2.157748083e+11,99839375,537000,0.3351591028,185.9206238,160625
1289,185.9196927,2.163746945e+11,99838875,537000,0.3362023996,185.9196927,161125
1293,185.9187616,2.169745807e+11,99838375,537000,0.3372456964,185.9187616,161625
1297,185.9178305,2.175744668e+11,99837875,537000,0.3382889932,185.9178305,162125
1301,185.9168994,2.18174353e+11,99837375,537000,0.33933229,185.9168994,162625
1305,185.9159683,2.187742392e+11,99836875,537000,0.3403755869,185.9159683,163125
1309,185.9150372,2.193741254e+11,99836375,537000,0.3414188837,185.9150372,163625
1313,185.9141061,2.199740116e+11,99835875,537000,0.3424621805,185.9141061,164125
1317,185.913175,2.205738978e+11,99835375,537000,0.3435054773,185.913175,164625
1321,185.9122439,2.21173784e+11,99834875,537000,0.3445487741,185.9122439,165125
1325,185.9113128,2.217736702e+11,99834375,537000,0.3455920709,185.9113128,165625
1329,185.9103818,2.223735564e+11,99833875,537000,0.3466353678,185.9103818,166125
1333,185.9094507,2.229734426e+11,99833375,537000,0.3476786646,185.9094507,166625
1337,185.9085196,2.235733288e+11,99832875,537000,0.3487219614,185.9085196,167125
1341,185.9075885,2.24173215e+11,99832375,537000,0.3497652582,185.9075885,167625
1345,185.9066574,2.247731012e+11,99831875,537000,0.350808555,185.9066574,168125
1349,185.9057263,2.253729874e+11,99831375,537000,0.3518518519,185.9057263,168625
1353,185.9047952,2.259728736e+11,99830875,537000,0.3528951487,185.9047952,169125
1357,185.9038641,2.265727597e+11,99830375,537000,0.3539384455,185.9038641,169625
1361,185.902933,2.271726459e+11,99829875,537000,0.3549817423,185.902933,170125
1365,185.9020019,2.277725321e+11,99829375,537000,0.3560250391,185.9020019,170625
1369,185.9010708,2.283724183e+11,99828875,537000,0.3570683359,185.9010708,171125
1373,185.9001397,2.289723045e+11,99828375,537000,0.3581116328,185.9001397,171625
1377,185.8992086,2.295721907e+11,99827875,537000,0.3591549296,185.8992086,172125
