N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
1227,185.9341248,2.070764585e+11,99846625,537000,0.3200312989,185.9341248,153375
1231,185.9331937,2.076763447e+11,99846125,537000,0.3210745957,185.9331937,153875
1235,185.9322626,2.082762309e+11,99845625,537000,0.3221178925,185.9322626,154375
1239,185.9313315,2.08876117e+11,99845125,537000,0.3231611894,185.9313315,154875
1243,185.9304004,2.094760032e+11,99844625,537000,0.3242044862,185.9304004,155375
1247,185.9294693,2.100758894e+11,99844125,537000,0.325247783,185.9294693,155875
1251,185.9285382,2.106757756e+11,99843625,537000,0.3262910798,185.9285382,156375
1255,185.9276071,2.112756618e+11,99843125,537000,0.3273343766,185.9276071,156875
1259,185.926676,2.11875548e+11,99842625,537000,0.3283776734,185.926676,157375
1263,185.9257449,2.124754342e+11,99842125,537000,0.3294209703,185.9257449,157875
1267,185.9248138,2.130753204e+11,99841625,537000,0.3304642671,185.9248138,158375
1271,185.9238827,2.136752066e+11,99841125,537000,0.3315075639,185.9238827,158875
1275,185.9229516,2.142750928e+11,99840625,537000,0.3325508607,185.9229516,159375
1279,185.9220205,2.14874979e+11,99840125,537000,0.3335941575,185.9220205,159875
1283,185.9210894,2.154748652e+11,99839625,537000,0.3346374544,185.9210894,160375
1287,185.9201583,2.160747514e+11,99839125,537000,0.3356807512,185.9201583,160875
1291,185.9192272,2.166746376e+11,99838625,537000,0.336724048,185.9192272,161375
1295,185.9182961,2.172745237e+11,99838125,537000,0.3377673448,185.9182961,161875
1299,185.917365,2.178744099e+11,99837625,537000,0.3388106416,185.917365,162375
1303,185.9164339,2.184742961e+11,99837125,537000,0.3398539384,185.9164339,162875
1307,185.9155028,2.190741823e+11,99836625,537000,0.3408972353,185.9155028,163375
1311,185.9145717,2.196740685e+11,99836125,537000,0.3419405321,185.9145717,163875
1315,185.9136406,2.202739547e+11,99835625,537000,0.3429838289,185.9136406,164375
1319,185.9127095,2.208738409e+11,99835125,537000,0.3440271257,185.9127095,164875
1323,185.9117784,2.214737271e+11,99834625,537000,0.3450704225,185.9117784,165375
1327,185.9108473,2.220736133e+11,99834125,537000,0.3461137194,185.9108473,165875
1331,185.9099162,2.226734995e+11,99833625,537000,0.3471570162,185.9099162,166375
1335,185.9089851,2.232733857e+11,99833125,537000,0.348200313,185.9089851,166875
1339,185.908054,2.238732719e+11,99832625,537000,0.3492436098,185.908054,167375
1343,185.9071229,2.244731581e+11,99832125,537000,0.3502869066,185.9071229,167875
1347,185.9061918,2.250730443e+11,99831625,537000,0.3513302034,185.9061918,168375
1351,185.9052607,2.256729305e+11,99831125,537000,0.3523735003,185.9052607,168875
1355,185.9043296,2.262728166e+11,99830625,537000,0.3534167971,185.9043296,169375
1359,185.9033985,2.268727028e+11,99830125,537000,0.3544600939,185.9033985,169875
1363,185.9024674,2.27472589e+11,99829625,537000,0.3555033907,185.9024674,170375
1367,185.9015363,2.280724752e+11,99829125,537000,0.3565466875,185.9015363,170875
1371,185.9006052,2.286723614e+11,99828625,537000,0.3575899844,185.9006052,171375
1375,185.8996741,2.292722476e+11,99828125,537000,0.3586332812,185.8996741,171875
1379,185.898743,2.298721338e+11,99827625,537000,0.359676578,185.898743,172375
1383,185.8978119,2.3047202e+11,99827125,537000,0.3607198748,185.8978119,172875
1387,185.8968808,2.310719062e+11,99826625,537000,0.3617631716,185.8968808,173375
1391,185.8959497,2.316717924e+11,99826125,537000,0.3628064684,185.8959497,173875
1395,185.8950186,2.322716786e+11,99825625,537000,0.3638497653,185.8950186,174375
